date,country,term,rank
2025-08-01,Japan,ゆりにゃ,1
2025-08-01,Japan,ヤクルト 対 阪神,2
2025-08-01,Japan,広島 対 中日,3
2025-08-01,Japan,巨人 対 dena,4
2025-08-01,Japan,甲子園 組み合わせ,5
2025-08-01,Japan,上條恒彦,6
2025-08-01,Japan,オリックス 対 日本ハム,7
2025-08-01,Japan,望月良男 自民党,8
2025-08-01,Japan,ソフトバンク 対 楽天,9
2025-08-01,Japan,レッズ 対 ブレーブス,10
2025-08-01,Japan,西武 対 ロッテ,11
2025-08-01,Japan,武蔵野線,12
2025-08-01,Japan,あばれる君重大発表,13
2025-08-01,Japan,ミーガン2.0 公開中止,14
2025-08-01,Japan,台風10号,15
2025-08-01,Japan,アウクスブルク 対 クリスタル・パレス,16
2025-08-01,Japan,宮澤エマ,17
2025-08-01,Japan,紺野ぶるま 本名,18
2025-08-01,Japan,雨雲レーダー,19
2025-08-01,Japan,雇用統計,20
2025-08-01,Japan,郡司恭子,21
2025-08-01,Japan,長岡花火,22
2025-08-01,Japan,山下美夢有,23
2025-08-01,Japan,幕張ビーチ花火フェスタ,24
2025-08-01,Japan,jal luxury card,25
